,Year,Frequency,Nb hot days,Accumulated area summer,Mean duration summer,Max duration summer,Mean spatial extent summer,Max spatial extent summer,Mean accumulated area summer,Max accumulated area summer,Mean speed summer,Max speed summer,Mean distance summer,Max distance summer,temp_file_path,model,calendar,JJA duration,Relative accumulated area summer (%)
760,1985,0,0,0.0,,,,,,,,,,,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,noleap,92,0.0
761,1986,3,92,10788096.972421473,39.0,92.0,570438.9585072334,1170100.819692157,3596032.3241404905,8196444.453521546,12.478641984520324,22.30328689890299,308.9949845950981,569.8772715042637,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,noleap,92,1.367199271438482
762,1987,3,14,3580320.76776032,6.333333333333333,7.0,291278.14353031863,483721.0253021327,1193440.2559201063,2013862.6665801853,5.743873681494246,9.471894332428702,34.51500271448477,56.83136599457222,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,noleap,92,0.45374193036190824
763,1988,2,92,3682222.265557405,51.0,92.0,331426.1310915025,617826.9595468126,1841111.1327787023,3408372.291898818,7.582002350006104,9.342957784654605,458.8812926708997,859.5521161882234,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,noleap,92,0.4666561314395236
764,1989,2,20,2708366.0665767896,10.0,11.0,272976.09450673417,344716.3416711187,1354183.0332883948,1683640.8301669736,4.573417792678179,7.381122351817306,42.92647336764266,66.43010116635575,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,noleap,92,0.34323719210890213
765,1990,4,62,26531795.77851896,17.5,47.0,700676.9571106288,1858358.6661455275,6632948.94462974,21619348.862226337,8.880310911283146,27.157088238659128,136.1425913178141,271.5708823865913,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,noleap,92,3.3624328694001044
766,1991,6,35,12963533.67287408,8.666666666666666,16.0,378300.2721108677,1367529.522290301,2160588.945479013,9084117.607116168,5.570651695918841,15.22316348028883,62.73473363034707,197.9011252437548,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,noleap,92,1.6428971521233409
767,1992,2,16,2577432.368640729,8.0,10.0,248640.97328696703,274932.08338959113,1288716.1843203646,1305380.7810833205,17.56310739555522,25.485900129897296,156.35044463312593,254.85900129897297,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,noleap,92,0.3266436764144703
768,1993,6,32,4359856.757216088,8.0,13.0,148998.56727490565,405243.41332336806,726642.792869348,2153750.440636956,8.075751704860924,17.439168766478076,73.2954426913498,226.709193964215,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,noleap,92,0.5525342418852981
769,1994,1,15,292210.44559445616,15.0,15.0,48720.59846906366,48720.59846906366,292210.44559445616,292210.44559445616,4.452835981380849,4.452835981380849,66.79253972071274,66.79253972071274,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,noleap,92,0.03703247285825811
