,Year,Frequency,Nb hot days,Accumulated area summer,Mean duration summer,Max duration summer,Mean spatial extent summer,Max spatial extent summer,Mean accumulated area summer,Max accumulated area summer,Mean speed summer,Max speed summer,Mean distance summer,Max distance summer,temp_file_path,model,calendar
10,1985,1,21,766873.5046804802,21.0,21.0,160865.90846950648,160865.90846950648,766873.5046804802,766873.5046804802,23.925890243338,23.925890243338,502.443695110098,502.443695110098,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,noleap
11,1986,5,92,16201790.474634215,30.2,92.0,520047.0248715648,1216176.5565773128,3240358.094926843,9148557.547232028,13.738759546113068,25.244304568049262,232.69206192532607,579.127259437109,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,noleap
12,1987,4,36,6829113.755223743,9.5,12.0,379026.2887039117,635876.7365476349,1707278.4388059357,3126837.124990195,14.353794385137872,23.067769492233893,132.32803883197496,207.60992543010505,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,noleap
13,1988,2,17,3698117.5999489566,8.5,10.0,348638.69658031245,627553.7444498455,1849058.7999744783,3350718.853057741,6.553149038633212,8.330527536218497,58.36783457476023,83.30527536218497,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,noleap
14,1989,3,50,2979228.156486008,18.33333333333333,34.0,190270.19348472697,208626.9466980935,993076.0521620028,1058443.7713573377,18.34637950294628,28.14146923884299,413.968552034929,956.8099541206616,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,noleap
15,1990,4,81,33586041.455798045,23.0,72.0,708695.8254914901,2200695.1334762303,8396510.363949511,30757867.46623907,3.3808048986559776,7.237193171108943,82.8758477487478,274.00308142947915,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,noleap
16,1991,4,55,17121523.080598008,17.25,37.0,609943.8367018248,1576373.6987085207,4280380.770149502,12045245.783075085,5.4729274259624585,9.677466603113938,136.11818362819,358.06626431521573,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,noleap
17,1992,2,20,3954781.8117004745,10.0,12.0,388745.64766130777,493055.5775954893,1977390.9058502368,2680849.3912161994,31.92267872884517,55.59194805639206,366.56532594354553,667.1033766767048,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,noleap
18,1993,6,41,6247086.9040478105,11.833333333333334,24.0,185201.38517272891,309338.1998662656,1041181.1506746352,2009338.6336016771,6.355791977891781,11.683331209231778,88.6241541807379,162.00441433861806,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,noleap
19,1994,0,0,0.0,,,,,,,,,,,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,noleap
